ID,User Query,Intent,Bot Response,Procedure/Form,Policy/Regulation,Emotional Cue
1,My father passed away. How do I notify the bank?,NotifyDeath,"I'm truly sorry for your loss. You can notify us online, by phone, or by visiting a branch. Let me guide you through the steps.",Death Notification Form,Bank must be notified promptly to freeze accounts,"Loss, confusion"
2,What documents do I need to submit after someone's death?,RequiredDocuments,"I'm here to help. Typically, you'll need the death certificate, ID of the notifier, and proof of your relationship. Some accounts may also need a probate letter.","Death Certificate, Proof of ID, Proof of Relationship",Documents required for account closure or transfer,Overwhelmed
3,Can I close my mother’s account now that she’s passed?,CloseAccount,"I’m sorry for your loss. Yes, the account can be closed once the necessary documents are submitted. I can assist you with the next steps.",Account Closure Request Form,Banks require formal verification before closure,Clarity seeking
4,How long does the process take?,ProcessingTime,"Generally, it takes 2–4 weeks, depending on the type of account and if probate is involved. We’ll keep you updated throughout.",N/A,Depends on estate value and account type,Anxiety
5,What if the account was joint?,JointAccountHandling,"In most cases, a joint account continues in the name of the surviving holder. We’ll update the records accordingly.",Joint Account Update Request,Survivorship clause applies,Uncertainty
6,I don’t have the death certificate yet. Can I still notify you?,PartialNotification,"Yes, you can notify us now, and submit the death certificate later. This helps us freeze the account to protect it.",Partial Notification Form,Account frozen until documents are provided,Helplessness
7,I found a will. What should I do with it?,WillSubmission,"Thank you for letting us know. Please share a copy of the will with us, along with executor details, to verify authority.",Executor Identity Form,Legal heirs and executors are authorized to act,Legal concern
8,Do I need probate for small savings accounts?,ProbateRequirement,"Not always. For balances below a certain threshold (e.g., £10,000), some banks waive probate. I can check for you.",Probate Waiver Application,Based on estate value and bank policy,Practical concern
9,How do I claim life insurance linked to the account?,ClaimInsurance,I'm so sorry you're having to go through this. I can help you file a claim. You'll need a death certificate and policy details.,Insurance Claim Form,Claim must be initiated by nominee or next of kin,Exhaustion
10,The deceased had a mortgage. What happens now?,MortgageAfterDeath,Let me walk you through it. The mortgage does not disappear; it may be paid from the estate or transferred to a co-owner.,Mortgage Responsibility Form,Depends on co-signer and estate,Worry
11,My spouse passed. Can I access their pension?,PensionQuery,I’m sorry for your loss. Pensions may be transferable to a spouse or dependents. Let’s check the eligibility and next steps.,Pension Claim Form,Policy-specific; often transferable,Sorrow
12,I’m not sure where to begin.,GeneralHelp,It's okay. You’re not alone. Let me ask you a few questions to understand your situation and guide you step-by-step.,Initial Assessment Form,Bank provides tailored bereavement help,Overwhelmed
13,I feel like I’m getting lost in paperwork.,EmotionalSupport,I understand it’s a difficult time. You're doing your best. Let’s break this down into simple steps together.,N/A,Compassionate support and simplified guidance,"Frustrated, grieving"
14,Can someone else do this on my behalf?,ThirdPartyHelp,"Yes, with proper authorization (like a power of attorney or executor ID), someone else can assist. Let me show you how.",Third-Party Authorization Form,Requires formal proof of authority,Delegation
15,What happens to the credit card debt after death?,DebtHandling,"The debt is handled by the estate. If there's no co-signer, it won’t pass to family members. I can help you check specifics.",Liability Review Form,Estate pays debts; family not liable unless co-signed,Concerned
16,Do I need to visit a branch to report a death?,ReportMethod,"No, you can report a death online, by phone, or in person. I can help you find the most convenient way.",Death Notification Options Guide,Multi-channel reporting available,Convenience seeking
17,The account had direct debits. What happens to them?,DirectDebitHandling,"Once the account is frozen, all direct debits will stop. Let me help you inform service providers to avoid disruptions.",Cancellation Notification Form,Bank is obligated to stop transactions,Concerned
18,I’m the nominee on the account. What are my rights?,NomineeRights,"As a nominee, you can initiate the claim process. You’ll need ID and the death certificate. Let me assist you.",Nominee Claim Form,Nominee is entitled to act as custodian,Uncertainty
19,What if there’s no will?,NoWillScenario,"If there's no will, the estate will be handled under intestacy laws. I’ll guide you on how to proceed.",Legal Heir Declaration,Next-of-kin hierarchy applies,Confusion
20,Can you help me track all the accounts of the deceased?,AccountTracking,"Yes, we can initiate a full account search using their name, address, and ID. It’s a common request.",Deceased Account Locator Form,Requires identity verification,Need for closure
21,Can I stop interest from accruing on loans?,LoanInterestStop,We can freeze the loan and interest upon receiving death documents. I’ll show you how to start that process.,Loan Freeze Request,Account frozen until estate resolves it,Financial stress
22,There was an overdraft. Do I need to pay it?,OverdraftQuery,"Overdrafts are usually paid from the estate. If you're not a joint holder, you're not personally liable.",Debt Acknowledgement Form,Estate pays the liabilities,Fear of liability
23,Will the bank send me updates?,CommunicationPreferences,"Yes, you can choose email, SMS, or post for updates. I can help you set that preference now.",Notification Settings,Compliant with GDPR,Wants clarity
24,Can I cancel the deceased’s debit card?,CancelCard,"Yes, we cancel all active cards once the death is reported. Do you have the card number or account info?",Card Cancellation Request,Account secured upon notification,Security concern
25,What if there’s money in a fixed deposit?,FixedDepositHandling,We can close the fixed deposit early with no penalty in a bereavement case. Let’s start that for you.,FD Closure Form,Waiver of penalty on compassionate grounds,Fairness
26,I’m just trying to follow their wishes.,HonorWishes,You're doing a kind and respectful thing. Let’s work together to honor their banking arrangements.,N/A,Focus on honoring deceased’s instructions,"Grieving, reflective"
27,How do I transfer funds to beneficiaries?,FundTransfer,"Once documentation is approved, we help transfer funds to verified heirs or nominees. Let’s begin.",Beneficiary Transfer Form,Follows estate/probate verification,Practical concern
28,They had online banking. What happens to it?,OnlineAccess,Online access is disabled after death to prevent misuse. We can help if you need statements or transaction records.,Account Access Request,Online access revoked for security,Security
29,Do you have a checklist for what I should do?,BereavementChecklist,"Yes, we have a step-by-step checklist to guide you. I can send it to your email or show it here.",Bereavement Checklist,"Covers account closure, loans, cards, etc.",Overwhelmed
